"material","sample_ID","sample_number","watershed","forest","species","year","C_mg_g","horizon","depth"
"foliage","5001",5001,"WB",,"RS",2012,500,,
"foliage","5002",5002,"WB",,"YB",2012,462.17,,
"foliage","5003",5003,"WB",,"AB",2012,490.39,,
"foliage","5004",5004,"WB",,"YB",2012,470.31,,
"foliage","5005",5005,"WB",,"YB",2012,472.84,,
"foliage","5006",5006,"WB",,"RS",2012,529.53,,
"foliage","5007",5007,"WB",,"RM",2012,504.08,,
"foliage","5008",5008,"WB",,"RS",2012,510.58,,
"foliage","5009",5009,"WB",,"YB",2012,500.6,,
"foliage","5010",5010,"WB",,"YB",2012,469.63,,
"foliage","5011",5011,"WB",,"RS",2012,472.84,,
"foliage","5013",5013,"WB",,"SM",2012,504.69,,
"foliage","5014",5014,"WB",,"AB",2012,461.28,,
"foliage","5015",5015,"WB",,"AB",2012,528.48,,
"foliage","5017",5017,"WB",,"SM",2012,517.36,,
"foliage","5018",5018,"WB",,"RM",2012,568.49,,
"foliage","5020",5020,"WB",,"RM",2012,497.89,,
"foliage","5022",5022,"WB",,"AB",2012,473.7,,
"foliage","5024",5024,"WB",,"SM",2012,487.52,,
"foliage","5025",5025,"WB",,"RM",2012,478.17,,
"foliage","5026",5026,"EB",,"RS",2012,497.05,,
"foliage","5027",5027,"EB",,"SM",2012,477.82,,
"foliage","5028",5028,"EB",,"RM",2012,517.62,,
"foliage","5029",5029,"EB",,"RS",2012,479.29,,
"foliage","5030",5030,"EB",,"AB",2012,442.39,,
"foliage","5031",5031,"EB",,"YB",2012,470.76,,
"foliage","5032",5032,"EB",,"YB",2012,437.62,,
"foliage","5033",5033,"EB",,"RM",2012,478.99,,
"foliage","5034",5034,"EB",,"RM",2012,479.5,,
"foliage","5035",5035,"EB",,"SM",2012,465.44,,
"foliage","5036",5036,"EB",,"AB",2012,501.7,,
"foliage","5037",5037,"EB",,"AB",2012,466.62,,
"foliage","5038",5038,"EB",,"YB",2012,444.4,,
"foliage","5039",5039,"EB",,"RS",2012,519.41,,
"foliage","5040",5040,"EB",,"AB",2012,516.27,,
"foliage","5041",5041,"EB",,"AB",2012,538.6,,
"foliage","5042",5042,"EB",,"RM",2012,491.29,,
"foliage","5043",5043,"EB",,"YB",2012,488.93,,
"foliage","5044",5044,"EB",,"YB",2012,437.06,,
"foliage","5055",5055,"EB",,"SM",2012,482.75,,
"foliage","5056",5056,"EB",,"RM",2012,490,,
"foliage","5057",5057,"EB",,"SM",2012,478,,
"foliage","5058",5058,"EB",,"RS",2012,528,,
"foliage","5059",5059,"EB",,"SM",2012,466.02,,
"foliage","5060",5060,"EB",,"RS",2012,531.95,,
"foliage","5061",5061,"WB",,"RS",2011,513.2,,
"foliage","5062",5062,"WB",,"RS",2011,487.46,,
"foliage","5063",5063,"WB",,"RS",2011,493.34,,
"foliage","5064",5064,"WB",,"RS",2011,528.43,,
"foliage","5065",5065,"WB",,"RS",2011,502.01,,
"foliage","5066",5066,"EB",,"RS",2011,517.5,,
"foliage","5067",5067,"EB",,"RS",2011,514.67,,
"foliage","5068",5068,"EB",,"RS",2011,500.77,,
"foliage","5069",5069,"EB",,"RS",2011,509.64,,
"foliage","5100",5100,"WB",,"RS",2013,511.29,,
"foliage","5101",5101,"WB",,"YB",2013,481.07,,
"foliage","5102",5102,"WB",,"AB",2013,476.71,,
"foliage","5104",5104,"WB",,"YB",2013,486.13,,
"foliage","5105",5105,"WB",,"RS",2013,486.22,,
"foliage","5106",5106,"WB",,"RM",2013,491.88,,
"foliage","5107",5107,"WB",,"RS",2013,500.67,,
"foliage","5108",5108,"WB",,"YB",2013,472.97,,
"foliage","5109",5109,"WB",,"YB",2013,489.56,,
"foliage","5110",5110,"WB",,"RS",2013,503.47,,
"foliage","5111",5111,"WB",,"RM",2013,500.44,,
"foliage","5112",5112,"WB",,"SM",2013,474.55,,
"foliage","5113",5113,"WB",,"AB",2013,457.86,,
"foliage","5114",5114,"WB",,"AB",2013,472.28,,
"foliage","5115",5115,"WB",,"SM",2013,491.88,,
"foliage","5116",5116,"WB",,"SM",2013,477.94,,
"foliage","5117",5117,"WB",,"RM",2013,497.53,,
"foliage","5118",5118,"WB",,"SM",2013,482.32,,
"foliage","5119",5119,"WB",,"RM",2013,485.9,,
"foliage","5120",5120,"WB",,"RS",2013,514.62,,
"foliage","5121",5121,"WB",,"AB",2013,486.26,,
"foliage","5122",5122,"WB",,"AB",2013,471.13,,
"foliage","5123",5123,"WB",,"SM",2013,477.62,,
"foliage","5124",5124,"WB",,"RM",2013,472.24,,
"foliage","5125",5125,"EB",,"RS",2013,501,,
"foliage","5126",5126,"EB",,"SM",2013,491.3,,
"foliage","5127",5127,"EB",,"RM",2013,496.55,,
"foliage","5128",5128,"EB",,"RS",2013,456.18,,
"foliage","5129",5129,"EB",,"AB",2013,508.54,,
"foliage","5130",5130,"EB",,"YB",2013,479.4,,
"foliage","5131",5131,"EB",,"YB",2013,487.35,,
"foliage","5132",5132,"EB",,"RM",2013,555.94,,
"foliage","5133",5133,"EB",,"RM",2013,507.69,,
"foliage","5134",5134,"EB",,"SM",2013,466.38,,
"foliage","5135",5135,"EB",,"AB",2013,465.65,,
"foliage","5136",5136,"EB",,"AB",2013,474.38,,
"foliage","5137",5137,"EB",,"YB",2013,559.97,,
"foliage","5138",5138,"EB",,"RS",2013,491.77,,
"foliage","5139",5139,"EB",,"AB",2013,500.2,,
"foliage","5140",5140,"EB",,"AB",2013,447.72,,
"foliage","5141",5141,"EB",,"RM",2013,505.73,,
"foliage","5142",5142,"EB",,"YB",2013,483.58,,
"foliage","5143",5143,"EB",,"YB",2013,475.49,,
"foliage","5144",5144,"EB",,"SM",2013,489.58,,
"foliage","5145",5145,"EB",,"RM",2013,476.36,,
"foliage","5146",5146,"EB",,"SM",2013,453.87,,
"foliage","5147",5147,"EB",,"RS",2013,514.57,,
"foliage","5148",5148,"EB",,"SM",2013,500.89,,
"foliage","5149",5149,"EB",,"RS",2013,558.13,,
"foliage","5200",5200,"WB",,"RS",2014,512.24,,
"foliage","5201",5201,"WB",,"YB",2014,470.03,,
"foliage","5202",5202,"WB",,"AB",2014,493.55,,
